modell,shape,arm,ziel,rec_jsd,rec_cov,laenge,E_erg,cov_solver,rel_fehler,abs_fehler,nutzen_pro_weg
laenge,a_lc,kraft,14.0,0.2642901871784776,0.028086362406611443,10.533885955810547,6.573810577392578,0.036543719470500946,-0.24757957458496094,0.24757957458496094,-0.02177349159528422
laenge,a_lc,kond+kraft,14.0,0.2635755792290547,0.027838140726089478,10.543048858642578,6.576481342315674,0.03645595535635948,-0.24692508152553017,0.24692508152553017,-0.021622724863731593
laenge,a_lc,kond,18.0,0.13254147636832317,0.027165789157152176,4.480740070343018,5.7715163230896,0.031327374279499054,-0.7510699960920546,0.7510699960920546,-0.08290671225394064
laenge,a_lc,kraft,18.0,0.26611689436655406,0.027734406292438507,10.678813934326172,6.598018646240234,0.03635969012975693,-0.40673255920410156,0.40673255920410156,-0.021559117307794688
laenge,a_lc,kond+kraft,18.0,0.26554790442896237,0.027474168688058853,10.687775611877441,6.590843677520752,0.036286234855651855,-0.4062346882290311,0.4062346882290311,-0.021436337833609757
laenge,rand_gmm_10,frei,nan,0.11882128269632293,0.052808839827775955,10.445891380310059,7.83137845993042,0.06147758662700653,nan,nan,nan
laenge,rand_gmm_10,kond,4.0,0.11867242607153336,0.052726563066244125,10.436853408813477,7.876075267791748,0.06133834272623062,1.6092133522033691,1.6092133522033691,-0.01647013656171238
laenge,rand_gmm_10,kraft,4.0,0.11313734444343423,0.06162472441792488,4.058413028717041,7.456987380981445,0.06588862836360931,0.014603257179260254,0.014603257179260254,-0.000889856362718026
laenge,rand_gmm_10,kond+kraft,4.0,0.11427384584440221,0.061727698892354965,4.056743144989014,7.567740440368652,0.06598901003599167,0.014185786247253418,0.014185786247253418,-0.0007117438325786809
laenge,rand_gmm_10,kond,6.0,0.11812258901749279,0.052329935133457184,10.396334648132324,7.839332103729248,0.06093280017375946,0.7327224413553874,0.7327224413553874,-0.014098865040662732
laenge,rand_gmm_10,kraft,6.0,0.09358396458586837,0.0511552058160305,6.127074241638184,7.023868560791016,0.05740392208099365,0.021179040273030525,0.021179040273030525,-0.005843571816105081
laenge,rand_gmm_10,kond+kraft,6.0,0.09377870378135848,0.05102888122200966,6.124695777893066,7.0673441886901855,0.05731046572327614,0.020782629648844475,0.020782629648844475,-0.005795289364118874
laenge,rand_gmm_10,kond,8.0,0.11788331318617298,0.05212172493338585,10.378105163574219,7.825954914093018,0.06072947755455971,0.29726314544677734,0.29726314544677734,-0.013837171556648107
laenge,rand_gmm_10,kraft,8.0,0.10493567008377623,0.05013391748070717,8.176761627197266,6.968013763427734,0.05805186927318573,0.022095203399658203,0.022095203399658203,-0.00611935593083578
laenge,rand_gmm_10,kond+kraft,8.0,0.10460114154890088,0.04984407499432564,8.165590286254883,7.059396266937256,0.057673148810863495,0.02069878578186035,0.02069878578186035,-0.006236080482746096
laenge,rand_gmm_10,kond,11.0,0.11802576158771358,0.05216267332434654,10.38371467590332,7.830363750457764,0.060794733464717865,-0.05602593855424365,0.05602593855424365,-0.012794520330401076
