shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
organic_10,18.0,1.128,5.925,10.877,5.849,-0.3957,-0.6751,4.1534,4.0802,3.9071,0.04224,0.04385,0.04213
organic_20,4.0,-2.176,4.756,4.0,4.838,0.0,0.2096,1.5809,1.631,1.6652,0.03586,0.03617,0.03612
organic_20,6.0,-1.343,4.756,5.976,4.77,-0.004,-0.205,1.5809,1.2948,1.5337,0.03586,0.03332,0.03522
organic_20,8.0,-0.721,4.756,7.748,4.83,-0.0315,-0.3963,1.5809,1.225,1.6892,0.03586,0.03277,0.03468
organic_20,11.0,-0.009,4.756,9.523,4.798,-0.1343,-0.5638,1.5809,1.3275,1.5729,0.03586,0.03302,0.03632
organic_20,14.0,0.543,4.756,10.265,4.783,-0.2668,-0.6584,1.5809,1.4251,1.5832,0.03586,0.03348,0.03497
organic_20,18.0,1.128,4.756,10.358,4.704,-0.4245,-0.7387,1.5809,1.4401,1.5266,0.03586,0.03359,0.03638
organic_30,4.0,-2.176,3.392,4.0,3.281,-0.0,-0.1798,1.1446,0.7909,1.2671,0.02583,0.02335,0.02402
organic_30,6.0,-1.343,3.392,5.974,3.398,-0.0044,-0.4337,1.1446,1.1082,0.9424,0.02583,0.02163,0.02435
organic_30,8.0,-0.721,3.392,7.713,3.4,-0.0359,-0.575,1.1446,1.5712,0.7055,0.02583,0.02264,0.02406
organic_30,11.0,-0.009,3.392,9.346,3.37,-0.1504,-0.6936,1.1446,2.1752,1.3166,0.02583,0.02466,0.02677
organic_30,14.0,0.543,3.392,9.892,3.409,-0.2934,-0.7565,1.1446,2.4078,0.9219,0.02583,0.0253,0.02429
organic_30,18.0,1.128,3.392,9.731,3.33,-0.4594,-0.815,1.1446,2.3302,1.4504,0.02583,0.0252,0.02649
cjk_0,4.0,-2.176,6.991,4.019,7.155,0.0048,0.7888,4.9771,6.2695,5.4198,0.04989,0.06255,0.05021
cjk_0,6.0,-1.343,6.991,6.011,6.988,0.0019,0.1646,4.9771,5.3588,5.0172,0.04989,0.05113,0.05025
cjk_0,8.0,-0.721,6.991,7.905,7.052,-0.0119,-0.1185,4.9771,4.6776,5.275,0.04989,0.04979,0.05089
cjk_0,11.0,-0.009,6.991,9.979,7.041,-0.0928,-0.3599,4.9771,3.961,4.8219,0.04989,0.05126,0.04975
cjk_0,14.0,0.543,6.991,11.054,7.053,-0.2104,-0.4962,4.9771,3.7388,5.1188,0.04989,0.05187,0.05032
cjk_0,18.0,1.128,6.991,11.519,6.934,-0.36,-0.6148,4.9771,3.6793,4.785,0.04989,0.05249,0.04962
cjk_10,4.0,-2.176,6.49,4.002,6.518,0.0005,0.6295,3.2727,3.1452,3.2825,0.03759,0.04283,0.03666
cjk_10,6.0,-1.343,6.49,5.997,6.508,-0.0005,0.0847,3.2727,3.0687,3.1754,0.03759,0.03674,0.03758
