phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
ucb,0.15,50,0,6,0.2692369047038756,0.14174468420577566,0.03961777068674564,0.14174468420577566,0.04328843381255865,0.16942331686615944,3075.249541015625,8.431528930664063,1.8730551245249807
niveau,0.724,50,1,6,0.2693732129884578,0.14196745955160556,0.03902570500969887,0.14196745955160556,0.047239141166210176,0.13628015615046024,3526.6588671875,8.430201873779296,1.8514383592130617
niveau,0.548,50,0,7,0.2695605797853693,0.12098161225477226,0.033363789096474646,0.12098161225477226,0.04225144127383828,0.13714703872799874,3537.6155859375,9.831642684936524,2.1447418826492504
niveau,0.7827,0,0,6,0.26957816945934343,0.14285278059603324,0.03955156795680523,0.14285278059603324,0.06697805020958185,0.14030233450233937,3555.072802734375,8.451441802978515,1.6813472158275544
mass,0.59,200,0,6,0.26962769430826306,0.1374566157335497,0.038198865130543706,0.1374566157335497,0.05620364289730787,0.16670794792473317,3179.75904296875,8.42547779083252,3.04276964367833
niveau,0.6067,0,0,6,0.2696815105899707,0.14299064923071345,0.03924776680767536,0.14299064923071345,0.05608593925833702,0.14776706248521804,3537.542841796875,8.45398094177246,1.6727153398143124
niveau,0.548,0,0,6,0.2696877498236106,0.14301562915606364,0.039600816518068314,0.14301562915606364,0.059545040540397165,0.1610884864628315,3440.580146484375,8.456708869934083,1.6680301668867465
niveau,0.8413,50,1,6,0.2699646804462654,0.14255694669525154,0.03917517140507698,0.14255694669525154,0.06751398211345076,0.13402255803346633,3590.9775,8.429897537231446,1.8519334377534689
ucb,0.2626,200,0,6,0.2702766302231515,0.13803958451000997,0.03867460086941719,0.13803958451000997,0.04456228904426098,0.15038392797112465,3078.85244140625,8.422361602783203,3.05926142828539
niveau,0.548,50,1,6,0.2702772454735855,0.14287924106298336,0.039483871534466745,0.14287924106298336,0.06571442797780037,0.1449292455613613,3520.986962890625,8.43335247039795,1.8495011026505381
niveau,0.9,25,1,5,0.27046540903889216,0.16453268484096928,0.045284772887825966,0.16453268484096928,0.05804099954664707,0.1525600552558899,3435.818486328125,7.029076118469238,1.4831810494807238
niveau,0.8413,100,1,6,0.2706071201978048,0.1416914391375502,0.038935518860816955,0.1416914391375502,0.05098353497684002,0.1349636737257242,3551.7786328125,8.428188705444336,2.2289202650636435
niveau,0.7827,200,1,5,0.27061343179078323,0.16056906693869752,0.04405765429139137,0.16056906693869752,0.0453892569988966,0.16363129630684853,3308.60107421875,7.020574531555176,2.5110912130214276
eid,2.4662,25,0,7,0.27079774738680173,0.12265841695647291,0.034596103429794314,0.12265841695647291,0.043763683587312696,0.15724869944155218,3092.7234765625,9.834378280639648,2.034832607582212
niveau,0.7827,200,0,6,0.2708176020386906,0.13877283691975267,0.03843847781419754,0.13877283691975267,0.0457468331977725,0.13249429017305375,3541.535712890625,8.423356399536132,3.0111912797344846
niveau,0.7827,50,1,7,0.27095399559571737,0.12230484427552378,0.03359123565256596,0.12230484427552378,0.04805352628231049,0.12068831473588944,3619.983125,9.83438663482666,2.162287830048396
niveau,0.548,0,1,6,0.27098401880300443,0.14422848818526443,0.0396449514478445,0.14422848818526443,0.05583321321755648,0.1577293772995472,3463.165146484375,8.455175743103027,1.688882654435001
niveau,0.372,25,0,7,0.27104833557181485,0.12311282759591428,0.033808268308639526,0.12311282759591428,0.054405319392681124,0.12570918969810008,3481.99263671875,9.845023765563965,1.983876993975137
niveau,0.9,0,0,6,0.27156145287647354,0.14481373576398446,0.03971802361309528,0.14481373576398446,0.05820596121251583,0.12915779739618302,3569.499287109375,8.438931694030762,1.6869292781222611
niveau,0.3133,50,1,7,0.2716324966106456,0.12302681288560388,0.03405348882079125,0.12302681288560388,0.0647326584905386,0.12357249170541763,3526.08826171875,9.839192352294923,2.1514209312604122
mass,0.71,0,0,6,0.2717570513057152,0.1451884594604934,0.040060702860355374,0.1451884594604934,0.07127706415951252,0.14714087039232254,3439.2257421875,8.458207130432129,1.6421479613054544
niveau,0.7827,25,1,6,0.27184855991275636,0.1447299512551318,0.039776630774140356,0.1447299512551318,0.05631292313337326,0.13159959860146045,3547.48892578125,8.429024658203126,1.7796521644061432
niveau,0.8413,200,0,6,0.27187081115891637,0.13982776902337968,0.038761105090379715,0.13982776902337968,0.06155000168830156,0.13214446127414703,3523.527880859375,8.422097778320312,3.010760533884168
niveau,0.8413,100,0,6,0.2718729941331504,0.14295672324647218,0.039182323589921,0.14295672324647218,0.058211949318647385,0.13002157218754293,3574.424052734375,8.416303253173828,2.229067721669562
niveau,0.4893,0,1,7,0.27188218207666626,0.1240081831580646,0.03426482617855072,0.1240081831580646,0.07171809554100037,0.1363317807763815,3652.365068359375,9.86166675567627,1.9684997296504059
