phi_model,param,svgd_iters,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s
eid,0.15,0,0,rand_ana_poly_20,4,0.0355423204600811,0.1495711345341767,0.03934693709015846,0.35031431913375854,2008.29150390625,5.613574981689453,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_30,4,0.11889449506998062,0.4268166445168578,0.19619619846343994,0.3096540570259094,2295.01416015625,5.5949578285217285,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_0,4,0.10552578419446945,0.3404899434596668,0.05980837345123291,0.1313166320323944,1991.271240234375,5.626953125,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_10,4,0.08501201122999191,0.24829163644112012,0.13536322116851807,0.08897753804922104,2691.85205078125,5.637518405914307,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_20,4,0.07960458844900131,0.2335406613348964,0.04113084077835083,0.12135688215494156,2413.294921875,5.633002758026123,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_30,4,0.12570007145404816,0.3811539985978488,0.22903013229370117,0.17265939712524414,1603.50048828125,5.610561370849609,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_0,4,0.0559602826833725,0.2437065385806447,0.13835151493549347,0.41065940260887146,2055.966552734375,5.64185094833374,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_10,4,0.09761901944875717,0.34289334585756603,0.08303016424179077,0.46443378925323486,2092.98828125,5.621313095092773,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_20,4,0.09009994566440582,0.3955775558384425,0.18736538290977478,0.2985607385635376,2169.14306640625,5.625917434692383,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_30,4,0.054994136095047,0.24611435313285823,0.06299126148223877,0.30038419365882874,2677.39111328125,5.584569454193115,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_0,4,0.14426660537719727,0.45243466695827156,0.30011823773384094,0.3976484537124634,1903.318359375,5.607127666473389,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_10,4,0.09101510792970657,0.3247881511401233,0.07126712054014206,0.42190197110176086,1801.734375,5.590972423553467,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_20,4,0.05151425302028656,0.20413830463540808,0.12058263272047043,0.18553662300109863,2042.3466796875,5.635169506072998,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_30,4,0.025238096714019775,0.14942761468549576,0.029445581138134003,0.16316376626491547,2216.462158203125,5.611235618591309,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_0,4,0.07176779210567474,0.23393996804284994,0.07964801788330078,0.20023022592067719,2073.8134765625,5.614606857299805,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_10,4,0.14693520963191986,0.4662180774122133,0.20643509924411774,0.24802197515964508,1712.177734375,5.605484485626221,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_20,4,0.0777130052447319,0.2612354299463797,0.038755107671022415,0.1685611456632614,2414.276123046875,5.6362762451171875,256,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,A,5,0.04322582855820656,0.17337420976104684,0.05681967735290527,0.22249597311019897,2430.2001953125,7.04412317276001,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,greek_upper_0,5,0.039689354598522186,0.159189788118899,0.03787355124950409,0.15903335809707642,2433.406982421875,7.049436569213867,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,korean_5,5,0.10151775926351547,0.3321745950173383,0.10031963884830475,0.1913316696882248,2487.48876953125,7.035305976867676,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,digit_5,5,0.05679295212030411,0.20816361452266144,0.21087190508842468,0.18076714873313904,2294.802001953125,7.037571430206299,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,a_lc,5,0.05119326338171959,0.23838704068111025,0.11008856445550919,0.24161775410175323,2553.266357421875,7.047330856323242,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_10,5,0.0968308076262474,0.28795461202467165,0.09705618023872375,0.17552533745765686,2579.670654296875,7.052156448364258,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_20,5,0.06908896565437317,0.22638614629567547,0.16203738749027252,0.058547768741846085,2209.75732421875,7.047358989715576,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_10,5,0.025687305256724358,0.08112029591979253,0.07051598280668259,0.25522249937057495,2338.2548828125,7.0267333984375,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_20,5,0.031342603266239166,0.13189765522065994,0.020486777648329735,0.3420138359069824,2124.349609375,7.020635604858398,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_30,5,0.08599485456943512,0.3087109731315793,0.142724871635437,0.32344773411750793,2678.443359375,6.997957706451416,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_0,5,0.07881253957748413,0.25429687492487474,0.10890693962574005,0.1065589115023613,2355.027587890625,7.029244422912598,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_10,5,0.05332554504275322,0.15574607224571502,0.07627919316291809,0.041061803698539734,2980.64111328125,7.047445297241211,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_20,5,0.06029418110847473,0.1768885840009121,0.09451079368591309,0.11000782251358032,2803.421875,7.045414447784424,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_30,5,0.12177851796150208,0.36926286936372016,0.08267418295145035,0.1706715077161789,1683.9140625,7.020825386047363,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_0,5,0.04859453812241554,0.2116287858434627,0.12294468283653259,0.36634013056755066,2425.486083984375,7.030957221984863,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_10,5,0.09050033986568451,0.3178885069018844,0.11887332797050476,0.446900337934494,2349.19091796875,7.020208358764648,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_20,5,0.05678914859890938,0.24932881407693608,0.07723212242126465,0.23287317156791687,2496.76806640625,7.030886650085449,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_30,5,0.039905160665512085,0.17858690946396785,0.04037530720233917,0.28637009859085083,2854.7568359375,6.994439601898193,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_0,5,0.14041420817375183,0.44035315966020555,0.09301595389842987,0.4181886911392212,1992.45458984375,7.018820762634277,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_10,5,0.05395285785198212,0.1925312110161407,0.03744454309344292,0.3742654323577881,2505.9892578125,6.999696731567383,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_20,5,0.04327940195798874,0.1715056168602294,0.13181911408901215,0.17061418294906616,2589.81103515625,7.047507286071777,320,3.31896382833831,0.0006930097751319408
