phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
niveau,0.4893,0,1,12,0.07442458888017055,0.020608690194785596,0.07442458888017055,0.040287050567567345,0.07532496429979801,3866.61916015625,16.886348876953125,3.374570965114981,0.31442458888017055
niveau,0.548,0,1,1,0.6774123094926897,0.18667216956615448,0.6774123094926897,0.22967311173677443,0.29410561561584475,1068.801865234375,1.4085367298126221,0.2814804424058335,0.6974123094926897
niveau,0.548,0,1,2,0.4549189947453555,0.12583732277154921,0.4549189947453555,0.1534353092312813,0.27453390300273894,1833.068017578125,2.8193526458740235,0.562960884811667,0.4949189947453555
niveau,0.548,0,1,3,0.3065850123659979,0.08445088788866997,0.3065850123659979,0.11225066049024462,0.23374544113874435,2424.905185546875,4.2296071434021,0.8444413272175005,0.3665850123659979
niveau,0.548,0,1,4,0.217448211828255,0.05990806445479393,0.217448211828255,0.06470154404640198,0.2095521116256714,2870.024248046875,5.639332332611084,1.125921769623334,0.297448211828255
niveau,0.548,0,1,5,0.17439023643364832,0.04796799048781395,0.17439023643364832,0.06411709770560264,0.18261900179088117,3209.775390625,7.047059993743897,1.4074022120291676,0.27439023643364835
niveau,0.548,0,1,6,0.14422848818526443,0.0396449514478445,0.14422848818526443,0.05583321321755648,0.1577293772995472,3463.165146484375,8.455175743103027,1.688882654435001,0.26422848818526445
niveau,0.548,0,1,7,0.12410221480824166,0.03417450182139874,0.12410221480824166,0.052438938282430174,0.1307347748428583,3636.94798828125,9.863637542724609,1.9703630968408348,0.2641022148082417
niveau,0.548,0,1,8,0.10592758619832501,0.029150225296616553,0.10592758619832501,0.05280708737671375,0.10402820371091366,3749.65025390625,11.268682594299316,2.251843539246668,0.265927586198325
niveau,0.548,0,1,9,0.09507932214136056,0.026196156069636344,0.09507932214136056,0.047539974860847,0.09289377041161061,3792.885087890625,12.66750675201416,2.5333239816525017,0.27507932214136055
niveau,0.548,0,1,10,0.08648361453068118,0.02380619302392006,0.08648361453068118,0.03521392978727818,0.08532591454684735,3832.012197265625,14.072962532043457,2.814804424058335,0.28648361453068116
niveau,0.548,0,1,11,0.07957878771168855,0.021929132118821144,0.07957878771168855,0.051252999268472196,0.07976298563182355,3856.000947265625,15.47690284729004,3.0962848664641687,0.29957878771168855
niveau,0.548,0,1,12,0.07476321618284469,0.020626180246472357,0.07476321618284469,0.039779101461172105,0.07620969582349062,3880.47591796875,16.87568458557129,3.377765308870002,0.3147632161828447
niveau,0.9,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19877572625875473,0.28075790882110596,1097.49146484375,1.4098540258407593,0.2811548796870435,0.647575694660018
niveau,0.9,0,0,2,0.419740374350382,0.11839675724506378,0.419740374350382,0.15060646638274192,0.24819045782089233,1857.3040625,2.8197719860076904,0.562309759374087,0.45974037435038195
niveau,0.9,0,0,3,0.2696714213844173,0.07502650946378708,0.2696714213844173,0.08541857831180096,0.21224834457039832,2548.673330078125,4.229696865081787,0.8434646390611306,0.3296714213844173
niveau,0.9,0,0,4,0.21428054782344388,0.0590554179251194,0.21428054782344388,0.07633317470550537,0.19020563811063768,3004.546884765625,5.635693054199219,1.124619518748174,0.29428054782344387
niveau,0.9,0,0,5,0.17465969658715527,0.047765064835548404,0.17465969658715527,0.055749612115323546,0.1536909531801939,3372.836845703125,7.037834205627441,1.4057743984352176,0.2746596965871553
niveau,0.9,0,0,6,0.14481373576398446,0.03971802361309528,0.14481373576398446,0.05820596121251583,0.12915779739618302,3569.499287109375,8.438931694030762,1.6869292781222611,0.2648137357639845
niveau,0.9,0,0,7,0.12893743568223492,0.035260391607880595,0.12893743568223492,0.04741674717515707,0.11663741022348403,3701.781689453125,9.838172302246093,1.9680841578093047,0.26893743568223494
niveau,0.9,0,0,8,0.11780171121747543,0.03229910559952259,0.11780171121747543,0.06377235315740108,0.10519123196601868,3783.713251953125,11.233823204040528,2.249239037496348,0.27780171121747543
niveau,0.9,0,0,9,0.10893233340726091,0.029826716035604477,0.10893233340726091,0.05286333829164505,0.09381584733724595,3832.260166015625,12.632842063903809,2.5303939171833916,0.2889323334072609
niveau,0.9,0,0,10,0.09907207612623425,0.027071171179413794,0.09907207612623425,0.058214979395270344,0.08671487592160702,3866.566826171875,14.032069892883301,2.811548796870435,0.29907207612623427
niveau,0.9,0,0,11,0.09294169725811308,0.025342683270573617,0.09294169725811308,0.04758523859083653,0.07720576569437981,3892.9697265625,15.432066383361816,3.0927036765574787,0.31294169725811305
niveau,0.9,0,0,12,0.08629071285753938,0.02350535035133362,0.08629071285753938,0.0460586172901094,0.0726850850880146,3907.68486328125,16.838638610839844,3.3738585562445222,0.32629071285753936
mass,0.71,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19026715695858,0.28075790882110596,1097.49146484375,1.4098540258407593,0.27369132688424236,0.647575694660018
mass,0.71,0,0,2,0.43582747368600844,0.12261135935783386,0.43582747368600844,0.15613331779837608,0.27001959800720216,1744.572333984375,2.8196022415161135,0.5473826537684847,0.4758274736860084
mass,0.71,0,0,3,0.28616993525750173,0.08053145572543144,0.28616993525750173,0.09467072628438472,0.24212370395660401,2381.05439453125,4.229932479858398,0.8210739806527272,0.3461699352575017
mass,0.71,0,0,4,0.21571342504324267,0.06048042118549347,0.21571342504324267,0.08086128294467926,0.22002730160951614,2846.296865234375,5.641158084869385,1.0947653075369694,0.29571342504324266
mass,0.71,0,0,5,0.17414938776766292,0.047930060029029845,0.17414938776766292,0.053466261513531205,0.18193828389048577,3195.64220703125,7.049141750335694,1.3684566344212121,0.27414938776766296
mass,0.71,0,0,6,0.1451884594604934,0.040060702860355374,0.1451884594604934,0.07127706415951252,0.14714087039232254,3439.2257421875,8.458207130432129,1.6421479613054544,0.2651884594604934
mass,0.71,0,0,7,0.13190739277724617,0.036303647086024286,0.13190739277724617,0.062122628837823865,0.13027568876743317,3574.18017578125,9.869100799560547,1.9158392881896968,0.2719073927772462
mass,0.71,0,0,8,0.11763716027308002,0.03245488956570625,0.11763716027308002,0.0677489360421896,0.11809026800096036,3666.210048828125,11.278548965454101,2.189530615073939,0.27763716027308005
mass,0.71,0,0,9,0.1030077592689689,0.02834372043609619,0.1030077592689689,0.056586943566799164,0.10338252201676369,3768.535693359375,12.688138427734375,2.4632219419581816,0.2830077592689689
mass,0.71,0,0,10,0.09550576303776039,0.026270170882344245,0.09550576303776039,0.048662474788725374,0.09709866411983967,3818.16326171875,14.097994537353516,2.7369132688424243,0.2955057630377604
mass,0.71,0,0,11,0.08963600788649391,0.024599900469183922,0.08963600788649391,0.0443453723564744,0.08082160890102387,3860.91240234375,15.50682674407959,3.010604595726666,0.3096360078864939
mass,0.71,0,0,12,0.08380465706798475,0.02298207104206085,0.08380465706798475,0.046305050365626814,0.06942335955798626,3889.0280078125,16.914355545043946,3.2842959226109087,0.3238046570679847
niveau,0.6653,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19191521614789964,0.28075790882110596,1097.49146484375,1.4098540258407593,0.27948358668324846,0.647575694660018
niveau,0.6653,0,0,2,0.41627640670350324,0.11695709154009819,0.41627640670350324,0.14073515579104423,0.2533010083436966,1849.080068359375,2.8197215747833253,0.5589671733664969,0.4562764067035032
niveau,0.6653,0,0,3,0.2813495367903565,0.07809772819280625,0.2813495367903565,0.08833154238760471,0.22304683357477187,2496.235458984375,4.229323921203613,0.8384507600497454,0.3413495367903565
niveau,0.6653,0,0,4,0.20468777403304053,0.056375223845243454,0.20468777403304053,0.07103091739118099,0.1885348404943943,2950.455322265625,5.639004440307617,1.1179343467329939,0.2846877740330405
niveau,0.6653,0,0,5,0.16955323644725012,0.046370652019977567,0.16955323644725012,0.06833421446382999,0.1520358280837536,3276.27732421875,7.047196044921875,1.3974179334162424,0.26955323644725016
niveau,0.6653,0,0,6,0.1451924289232931,0.03979354575276375,0.1451924289232931,0.08138769686222076,0.13660125158727168,3499.755439453125,8.453014106750489,1.6769015200994908,0.2651924289232931
niveau,0.6653,0,0,7,0.12914647945608648,0.035486212372779845,0.12914647945608648,0.04070877796038985,0.11524164088070393,3667.96509765625,9.854332580566407,1.9563851067827394,0.2691464794560865
niveau,0.6653,0,0,8,0.11181637958877466,0.030769739076495172,0.11181637958877466,0.05130109421908855,0.10430594637989998,3766.6904296875,11.259988899230956,2.2358686934659877,0.2718163795887747
niveau,0.6653,0,0,9,0.09824142626822142,0.027031704261898996,0.09824142626822142,0.05439083818346262,0.08941599875688552,3822.781015625,12.661131553649902,2.5153522801492363,0.2782414262682214
niveau,0.6653,0,0,10,0.09077786448904282,0.025030006244778632,0.09077786448904282,0.04854534413665533,0.07917414598166943,3858.944130859375,14.058288917541503,2.794835866832485,0.29077786448904286
niveau,0.6653,0,0,11,0.0845214103450386,0.023341287449002265,0.0845214103450386,0.04472668377682567,0.07533981788903475,3881.008857421875,15.458451271057129,3.074319453515733,0.3045214103450386
niveau,0.6653,0,0,12,0.07746529177659538,0.021442092955112457,0.07746529177659538,0.04345396459102631,0.07205232217907906,3898.2355078125,16.8617862701416,3.3538030401989816,0.3174652917765954
niveau,0.7827,0,1,1,0.6774123094926897,0.18667216956615448,0.6774123094926897,0.22527129381895064,0.29410561561584475,1068.801865234375,1.4085367298126221,0.2782495986670255,0.6974123094926897
niveau,0.7827,0,1,2,0.44236450785542464,0.12319375351071357,0.44236450785542464,0.16315352968871594,0.27001254945993425,1830.293759765625,2.817919292449951,0.556499197334051,0.4823645078554246
niveau,0.7827,0,1,3,0.2942538358066117,0.08185928389430046,0.2942538358066117,0.09465652488172055,0.2326501077413559,2473.616875,4.227998847961426,0.8347487960010765,0.3542538358066117
niveau,0.7827,0,1,4,0.23004758279813298,0.06349217727780342,0.23004758279813298,0.07682641059160232,0.21291743278503417,2929.4320703125,5.637333278656006,1.112998394668102,0.310047582798133
