phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
mass,0.89,0,0,6,0.2913654711576781,0.17136547115767808,0.04716967836022377,0.17136547115767808,0.08357896223664284,0.14989592157304288,3521.334658203125,8.460687522888184,1.6344726742152125
eid,1.0648,0,1,8,0.2914524347964141,0.13145243479641408,0.03734581984579563,0.13145243479641408,0.06507741563022136,0.15500918045639991,3145.13248046875,11.258495559692383,2.2391708525146043
eid,1.864,0,0,8,0.291467457851164,0.13146745785116404,0.03718295104801655,0.13146745785116404,0.06929794186726213,0.15814886078238488,3045.250615234375,11.26387710571289,2.2643419006528953
ucb,0.1985,0,1,7,0.29148348265209334,0.1514834826520933,0.04269674360752106,0.1514834826520933,0.07474876556545496,0.16491738215088844,3201.498935546875,9.86592788696289,1.8295337713470994
niveau,0.196,0,1,8,0.2924201476842748,0.13242014768427482,0.03688340313732624,0.13242014768427482,0.06711340352892875,0.12424274198710919,3620.4959765625,11.278820304870605,2.2713051597587763
eid,0.15,0,0,8,0.2924711552873772,0.1324711552873772,0.03809938251972198,0.1324711552873772,0.06578943535685539,0.1639566646516323,2984.564326171875,11.256294708251954,2.2131045587422946
eid,0.8047,0,1,8,0.29248356466867553,0.13248356466867553,0.037313529923558235,0.13248356466867553,0.08346552263945341,0.1628965802490711,3087.905390625,11.262461433410644,2.2456451336480674
mass,0.29,0,0,7,0.29562345436287013,0.15562345436287012,0.04435733325779438,0.15562345436287012,0.08498928207904101,0.1868382766842842,3002.763291015625,9.8569384765625,1.9536085326907533
ucb,5.7123,0,1,7,0.29636594934926874,0.15636594934926876,0.04273634746670723,0.15636594934926876,0.07906010132282973,0.13461054362356661,3695.030048828125,9.869054374694825,2.0139369668997826
eid,0.15,0,1,7,0.29663834883619733,0.15663834883619732,0.045477359294891356,0.15663834883619732,0.06889649266377092,0.20027722269296647,2839.18927734375,9.848966255187989,1.9609622981150943
niveau,0.0787,0,0,7,0.2966466709170319,0.1566466709170319,0.04309646226465702,0.1566466709170319,0.06412576407194137,0.13752804525196552,3611.1587890625,9.87132827758789,1.918900110325
mass,0.11,0,0,8,0.29671862626854884,0.1367186262685488,0.03889407880604267,0.1367186262685488,0.05562629573047161,0.17687271401286125,3068.555888671875,11.254660911560059,2.2473975222557776
eid,0.1985,0,0,7,0.2969922015445204,0.15699220154452037,0.04462271362543106,0.15699220154452037,0.06012843951582909,0.18793737679719924,2866.619833984375,9.847215194702148,1.9444854418126243
mass,0.35,0,1,7,0.297265402314988,0.15726540231498798,0.0451069264113903,0.15726540231498798,0.08981126047670841,0.17673396095633506,3134.559140625,9.86258960723877,1.9446959461496836
mass,0.95,0,1,7,0.2976811474749197,0.15768114747491965,0.04282912328839302,0.15768114747491965,0.06573846824467182,0.12163440823554993,3726.372412109375,9.870811920166016,1.9835509936860765
mass,0.23,0,1,7,0.2982401120047795,0.15824011200477953,0.045193598195910456,0.15824011200477953,0.0645717789232731,0.17545820489525796,3062.88619140625,9.857081871032715,1.929054533930806
eid,0.6082,0,1,8,0.29829216740827114,0.13829216740827113,0.03941540762782097,0.13829216740827113,0.06643852725625038,0.18258678913116455,3007.947314453125,11.257567558288574,2.2645533226740855
mass,0.17,0,1,8,0.2991011831526775,0.13910118315267747,0.04034623727202415,0.13910118315267747,0.06788085496053099,0.1554223020374775,3158.92333984375,11.262619094848633,2.1935121310750643
mass,0.05,0,0,7,0.30007413481169853,0.16007413481169852,0.046501359716057775,0.16007413481169852,0.08020955428481102,0.19635792821645737,2752.568310546875,9.840332221984863,1.965385705072743
eid,0.2626,0,1,8,0.3030660544382017,0.14306605443820172,0.04156192071735859,0.14306605443820172,0.08429124750196934,0.16368613690137862,2956.7613671875,11.258034858703613,2.272887493247787
mass,0.17,0,0,8,0.3047838588730377,0.14478385887303769,0.04090789921581745,0.14478385887303769,0.06996376689523459,0.16469794675707816,3135.2391015625,11.258532180786133,2.245580583997071
eid,1.4088,0,0,8,0.30519788634745504,0.14519788634745506,0.0413615033403039,0.14519788634745506,0.0823038155771792,0.1633952721953392,3026.812802734375,11.262160568237304,2.2617586905322966
eid,0.1985,0,1,7,0.3052403325986863,0.16524033259868634,0.047862683907151225,0.16524033259868634,0.07639509323984385,0.19637507393956186,2809.509482421875,9.848031120300293,1.9868999903323132
eid,0.8047,0,0,8,0.3059407096470899,0.1459407096470899,0.04109762541949749,0.1459407096470899,0.0804513305425644,0.16994066968560217,3040.656708984375,11.25981388092041,2.2577744330279526
niveau,0.0787,0,1,8,0.3088200699368785,0.14882006993687852,0.041274011954665187,0.14882006993687852,0.07318209432065487,0.13263388983905317,3632.781826171875,11.281151313781738,2.2602191698427
eid,0.6082,0,0,9,0.3090954432166585,0.12909544321665853,0.036963560134172437,0.12909544321665853,0.06992795124650002,0.1553650264441967,3072.00341796875,12.668043937683105,2.5281470904056915
mass,0.11,0,1,8,0.31200601889236457,0.15200601889236456,0.04262841127812862,0.15200601889236456,0.07955327823758125,0.16323967948555945,3088.00375,11.25763973236084,2.1944867767207326
niveau,0.02,0,1,7,0.32603735185525884,0.18603735185525883,0.050400350093841556,0.18603735185525883,0.08182870112359523,0.16007744520902634,3461.44216796875,9.874208145141601,1.938135380859021
niveau,0.02,0,0,6,0.3329427707988376,0.21294277079883758,0.05977936804294586,0.21294277079883758,0.08458173520863056,0.18502576321363448,3083.18736328125,8.464302253723144,1.6379772135335953
