shape,n_prior,modell,treffer,korr,sigma_anteil,traeger
rand_ana_poly_30,12,mi,0.204598531126976,-0.06502799689769745,0.9684430360794067,0.212158203125
rand_ana_poly_30,12,stretch,0.20014141499996185,-0.12670554220676422,0.9684430360794067,0.212158203125
rand_ana_poly_30,12,ucb,0.20101921260356903,-0.12670554220676422,0.9684430360794067,0.212158203125
rand_ana_poly_30,30,ei,0.23895251750946045,0.08702585101127625,0.9538580179214478,0.212158203125
rand_ana_poly_30,30,eid,0.3411245048046112,0.32066288590431213,0.9538580179214478,0.212158203125
rand_ana_poly_30,30,lse,0.2771053910255432,0.42563632130622864,0.9538580179214478,0.212158203125
rand_ana_poly_30,30,mass,0.3636102080345154,0.44613128900527954,0.9538580179214478,0.212158203125
rand_ana_poly_30,30,mi,0.2300986796617508,0.08881130069494247,0.9538580179214478,0.212158203125
rand_ana_poly_30,30,stretch,0.21419110894203186,0.016142278909683228,0.9538580179214478,0.212158203125
rand_ana_poly_30,30,ucb,0.21407397091388702,0.01614227704703808,0.9538580179214478,0.212158203125
rand_ana_poly_30,60,ei,0.22671982645988464,0.028599392622709274,0.9172955751419067,0.212158203125
rand_ana_poly_30,60,eid,0.39097461104393005,0.427620530128479,0.9172955751419067,0.212158203125
rand_ana_poly_30,60,lse,0.3474535346031189,0.5671771168708801,0.9172955751419067,0.212158203125
rand_ana_poly_30,60,mass,0.39338213205337524,0.5694900751113892,0.9172955751419067,0.212158203125
rand_ana_poly_30,60,mi,0.26075005531311035,0.18852359056472778,0.9172955751419067,0.212158203125
rand_ana_poly_30,60,stretch,0.20712095499038696,-0.009713890962302685,0.9172955751419067,0.212158203125
rand_ana_poly_30,60,ucb,0.20743857324123383,-0.009713886305689812,0.9172955751419067,0.212158203125
rand_gmm_complex_0,12,ei,0.5161594152450562,-0.006982871331274509,0.9701855182647705,0.51171875
rand_gmm_complex_0,12,eid,0.7448846101760864,0.4329903721809387,0.9701855182647705,0.51171875
rand_gmm_complex_0,12,lse,0.5556882619857788,0.6110867857933044,0.9701855182647705,0.51171875
rand_gmm_complex_0,12,mass,0.6921684741973877,0.7181049585342407,0.9701855182647705,0.51171875
